Property	Mean	Median	Standard Deviation	Minimum	Maximum	25th Percentile	75th Percentile	IQR	Valid Count
Total Length	3705.44	2947.0	2951.03	39.0	109224.0	1748.0	4826.0	3078.0	19291
5' UTR Length	201.89	136.0	217.78	1.0	3561.0	68.0	258.0	190.0	18938
CDS Length	1746.77	1299.0	1839.37	39.0	107976.0	816.0	2088.0	1272.0	19291
3' UTR Length	1791.68	1087.0	2110.81	1.0	32870.0	397.0	2441.0	2044.0	18955
Total CG Content	0.5	0.4902	0.09	0.3073	0.7854	0.42	0.57	0.15	19291
5' UTR CG Content	0.64	0.6463	0.12	0.0	1.0	0.56	0.73	0.17	18938
CDS CG Content	0.53	0.5281	0.09	0.2766	0.7985	0.46	0.6	0.14	19291
3' UTR CG Content	0.44	0.4245	0.1	0.0	1.0	0.36	0.52	0.16	18955
